area,UTM_X,UTM_Y
14.758526,597703.118503,4995661.84131
11.564899,627701.406978,5019863.08983
102.060257,675392.309493,5029355.41052
17.208648,593442.365659,5011660.97448
23.4909,591962.180459,5019200.3614
68.744151,649709.875852,5027038.41008
154.538902,634969.157112,5029454.84058
25.740956,596620.612918,4983348.17105
5.874098,664121.77198,5051131.28727
30.272848,664636.690673,5052325.6396
20.344147,650197.090357,4988048.27537
120.137776,670178.774227,5045497.40238
17.981146,669426.519432,5041838.85928
23.317199,613797.925736,5010214.93874
8.780599,663492.743004,5021655.26967
22.665597,587785.57043,5016030.87225
92.234503,680233.218619,5033328.90676
11.223999,672835.644682,5026431.40141
18.335754,660747.010895,5011186.4041
375.054941,651757.2658,4986233.94674
4.100599,633990.840949,4982133.13743
108.610051,614022.883939,5006682.29335
11952.840421,619985.646824,4986697.92127
36.199152,639134.087704,5005907.1741
6804.745764,654368.161231,5012704.13618
2037.99765,621363.47018,5012030.27449
645.840003,590837.496463,4985113.59862
5347.927977,600404.836266,5003278.14621
6375.568634,610063.664242,5003154.59323
349.240392,653958.276978,5034204.22428
692.702737,642535.560101,5021081.17472
830.678871,648910.788496,5022819.96776
210.410503,653316.681058,5032499.15655
3099.948455,676178.397624,5018590.51979
211.970252,682030.587833,5023502.04612
1062.538142,636670.597993,5011566.69979
1531.135081,633744.616705,5021285.39478
133.54083,629906.101436,4974998.39749
165.240463,658862.181303,5033461.8301
61.893847,640715.538219,5028560.78727
38.91575,641914.969536,5003027.40581
23.535297,668592.084522,5028636.15825
58.829256,612131.866073,4975530.76261
13.103449,628757.172767,5024684.46447
29.015902,627851.150909,5024751.64774
56.546466,600785.00984,4994756.42734
16.859501,650919.943459,4988354.01529
68.121992,640806.311873,5041918.2534
81.109299,637684.613581,5003560.57159
22.321903,606886.576854,4985497.08683
51.943902,647836.869321,5027364.58302
28.140095,635451.560184,5027471.5009
128.732293,609919.760611,4983751.92496
32.825497,657547.028518,5031865.36225
40.76625,605945.239579,4991093.90109
54.0834,639184.656811,5037270.67811
26.409698,606144.418447,4984567.92148
21.016595,605777.559014,5006573.1179
16.127499,652735.850044,4995978.04766
64.935163,681723.916961,5016510.37371
83.856297,679535.635765,5058901.22342
93.239246,678862.060682,5040702.54975
18.751001,658589.509491,5010694.32528
30.621798,601636.78203,5012538.70667
99.031993,691925.182701,5023633.45734
10.691449,639999.089287,5004384.07986
80.935403,614591.499739,4973162.43636
1424,576861.212811,4990444.797
1424,582443.342282,4995571.492
1424,580548.586926,4996282.025
1424,581259.120185,4997860.988
1424,579127.520409,4999992.588
1424,580548.586926,5001334.706
1.028849,634951.005087,4998821.91227
2.721849,654586.76814,4998871.30625
1.710451,617906.442088,4971289.69813
3.397998,591798.181407,4998930.68711
1.627648,589121.756909,4998997.58495
2.618499,611626.287936,4971660.33156
2.207451,616265.278981,4972869.24511
12.8539,611681.445453,4973394.41633
1.5153,590183.922821,4999280.85097
1.60585,587326.569114,5018867.38732
25.491552,587850.157045,4999217.57835
3.471597,625368.487741,4975070.50588
3.843448,612767.060159,4975700.62579
2.96045,610068.194722,4975810.2607
37.119294,611704.914053,4975429.43186
2.4992,585539.860525,4976545.40188
8.406751,584043.589533,4999836.21917
3.623497,606524.14365,4977043.47326
4.723201,647427.778767,5000014.8951
6.159698,634403.654153,4977523.68938
11.272651,607970.171562,4977386.93733
38.175755,612300.415086,4976767.37322
1.259199,620102.280855,4977776.96691
13.406847,608209.153817,4977614.93262
3.876351,635176.514038,4977890.97697
1.36095,586516.138642,4978102.46523
1.878801,618004.058306,4978302.04623
3.65305,584550.241553,4978183.66583
5.546848,609383.182743,4978416.57031
1.9539,596315.951239,5000663.20926
1.448598,617199.925293,4978608.87272
16.496146,618546.836942,4978427.42461
4.246349,622257.950316,4978726.61726
8.086154,586086.531198,4978995.83653
2.370999,585491.312072,4979117.32168
4.158398,632498.25844,4979035.66093
2.163448,609887.850862,4979206.69104
1.551496,588496.370751,4979215.882
9.181351,595796.157056,4979205.49692
1.449449,589267.868548,5020414.60963
8.464653,612992.351255,4979228.11606
9.277499,617913.286339,4979321.26151
6.998298,578696.607247,5001429.39295
1.175399,602970.035274,5020509.43579
8.850001,594011.611315,5001595.29504
20.043549,619852.71261,4979423.61687
4.689199,616933.514513,4979957.04016
1.03254,586779.928184,4980279.92981
8.907852,614083.002963,4980126.45702
29.723604,641921.594363,5001868.9884
5.617498,595928.371395,4980070.67905
2.910899,585629.047788,4980365.05707
1.543801,602033.202703,5020932.18405
15.001451,595505.360339,4980024.26673
26.934702,600062.403478,4980487.35478
1.847799,593556.258416,4981060.41124
8.006549,584858.925263,4981035.3603
1.466545,582919.445256,4981173.5335
1.694801,626702.98149,5002534.98971
8.699149,635273.030128,4981172.25419
3.266299,595941.351922,4981229.58184
2.3645,595241.913972,4981308.01862
2.551198,592134.444211,5003299.906
10.591951,609583.799937,4981167.40343
5.060451,594015.640935,4981120.47594
3.386151,592770.743088,4981371.6982
11.589849,584200.805195,4981474.19136
8.890098,593585.058862,4981390.9318
5.953999,596250.407877,5003575.52499
2.828251,593339.373113,4981782.81277
3.678748,594015.878684,4981759.59814
